application,keybinding,function,note,
fman,shift + l,Open in right pane,,
fman,shift + h,Open in left pane,,
fman,ctrl + d,Move to trash,,
fman,ctrl + r,Rename,,
fman,ctrl + n,Create and edit file,,
fman,ctrl + o,Open favourites menu,,
fman,ctrl + p,GoTo menu,,
fman,ctrl + /,Open terminal in dir,,
fman,ctrl + shift + p,Command Palette,,
fman,ctrl + \\,Go to Root of drive,,
fman,ctrl + f,Add folder to favs,,
fman,ctrl + shift + f,Remove folder from favs,,
fman,ctrl + n,New file,,
fman,ctrl + shift + n,New directory,,
fman,ctrl + shift + h,Move to other pane,,
fman,ctrl + shift + l,Move to other pane,,
